MaintenanceID,TechnicianName,Team,Contact,Shift,Region
1,Anne Smith,Zone Tech Team,001-540-212-9691x121,Morning,Midwest
2,Jessica White,Facility Repairs,582.498.4879x350,Night,Midwest
3,John Nguyen,Equipment Ops Team,001-707-909-5360,Night,West
4,Cassie Dennis,Zone Tech Team,+1-222-361-1810,Evening,Northeast
5,Erin Jackson,Automation Crew,(376)231-2961x551,Night,South
6,Barry Burns,Automation Crew,001-358-466-0291,Morning,Northeast
7,Kenneth Fischer,Equipment Ops Team,(247)373-4134,Morning,Midwest
8,Michael Phillips,Automation Crew,+1-866-670-5829x14340,Evening,South
9,Kathleen Ortiz,Zone Tech Team,001-462-610-5886x02305,Evening,Northeast
10,Matthew Rodriguez,Facility Repairs,828.578.8109,Evening,Midwest
11,Jamie Ramos,Maintenance Squad,592.286.1234x3853,Night,West
12,Bryan Coleman,Zone Tech Team,(856)533-5777,Night,Northeast
13,Melissa Martinez,Equipment Ops Team,(739)680-2918,Morning,Midwest
14,Danielle Hernandez,Automation Crew,(897)637-6000x699,Morning,South
15,Jeremy Reid,Equipment Ops Team,(393)578-3892x1069,Night,West
16,Michelle Cox,Zone Tech Team,001-534-515-9291x9079,Night,South
17,Trevor Doyle,Zone Tech Team,001-458-971-7834x546,Evening,West
18,Amber Davis,Equipment Ops Team,7696556960,Morning,South
19,Tom Harris,Automation Crew,202-735-3805,Night,South
20,Kenneth Lloyd,Automation Crew,001-490-376-3637x03228,Morning,West
21,Dawn Duarte,Maintenance Squad,700-503-0355x8155,Evening,West
22,Jeremy Young,Facility Repairs,001-701-985-7368x8278,Morning,Northeast
23,Kiara Johnson,Maintenance Squad,2359310128,Evening,South
24,Lisa Franco,Equipment Ops Team,238.407.3302x13480,Evening,South
25,Jordan Carter,Maintenance Squad,001-595-208-7851,Morning,Midwest
26,Richard Harmon,Equipment Ops Team,(965)554-9605x492,Morning,West
27,Brittany Flores,Facility Repairs,870.917.6690x8702,Morning,Northeast
28,Victoria Chang,Maintenance Squad,962.429.6076x424,Evening,Midwest
29,Roberto Torres,Automation Crew,(216)588-8617,Night,South
30,Steven Arnold DDS,Zone Tech Team,405.716.0407x1117,Night,South
31,Lydia Brown,Equipment Ops Team,4509077533,Evening,South
32,Dawn Garcia,Facility Repairs,+1-559-616-1502,Night,South
33,Bobby Allen,Equipment Ops Team,469.782.2907,Night,Midwest
34,Steven Ellis,Automation Crew,433-236-5954,Morning,West
35,Jonathan Richards,Facility Repairs,879.467.8936x768,Evening,Northeast
36,Morgan Johnson,Maintenance Squad,(581)377-8861,Morning,Midwest
37,Ryan Coleman,Automation Crew,840-330-5393,Morning,West
38,Kathleen Clark,Automation Crew,+1-728-929-5628x848,Evening,Midwest
39,Elizabeth Pineda,Facility Repairs,(709)476-4958,Night,Northeast
40,Nancy Pollard,Equipment Ops Team,557-660-6092x24703,Night,West
41,Renee Garcia,Automation Crew,329-941-1147x654,Morning,Midwest
42,Bryan Beck,Zone Tech Team,358.715.5874,Morning,Midwest
43,Monica Chapman,Automation Crew,958-373-4118x078,Night,South
44,Angela Reeves,Zone Tech Team,764.909.1444x221,Morning,West
45,Christine Flores,Maintenance Squad,339.527.5332x34663,Night,Midwest
46,Jason Herrera,Maintenance Squad,352-463-7085,Morning,Northeast
47,Christopher Kaiser,Equipment Ops Team,619-283-8624x778,Night,Northeast
48,Matthew Hernandez,Automation Crew,360.849.5967x61021,Morning,Midwest
49,Melissa Wilson,Equipment Ops Team,(802)374-7897,Night,South
50,Michael Keith,Automation Crew,+1-524-619-2871x46398,Morning,Northeast
51,Jessica Allen,Zone Tech Team,(656)340-9905,Morning,South
52,Gabriel Price,Automation Crew,(508)361-7554,Night,South
53,Tiffany Cohen,Facility Repairs,889-315-6488,Evening,Northeast
54,Francis Lee,Facility Repairs,884.219.2307x3384,Evening,West
55,Shannon Taylor,Facility Repairs,001-767-850-6176x2969,Morning,South
56,Bobby Powell,Facility Repairs,359-727-3440x75137,Night,Midwest
57,Lisa Munoz,Zone Tech Team,(817)764-1932x249,Night,Midwest
58,Dr. Michelle Booker,Automation Crew,396.214.5050x729,Night,Northeast
59,Joshua Coleman,Zone Tech Team,819.537.4219x502,Night,Midwest
60,Anna Galloway,Facility Repairs,843.483.4947x7029,Evening,West
